STATE OF NEW HAMPSHIRE,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,
GOVERNOR'S FY24 - FY25 RECOMMENDED BUDGET - BUDGET VERSION: 2024F01,,,,,,,,,,,
RUN DATE: 02/08/2023,,,,,,,,,,,
,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY22 Actual ,FY23 Adj Auth,FY24 Gov Recommend,FY25 Gov Recommend
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76200000-IT FOR JUSTICE,Expense,037-Technology - Hardware,"109,425","99,008","121,179","94,186"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76200000-IT FOR JUSTICE,Expense,038-Technology - Software,"101,471","106,711","167,460","160,435"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76200000-IT FOR JUSTICE,Expense,046-Consultants,"29,835",1,1,1
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76200000-IT FOR JUSTICE,Funding,001-Transfer from Other Agencies,"-242,091","-207,080","-289,980","-255,962"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76210000-IT FOR OFF PRO LICENS/CERT,Expense,020-Current Expenses,738,940,"1,060","1,060"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76210000-IT FOR OFF PRO LICENS/CERT,Expense,037-Technology - Hardware,"70,401","16,477","88,007","40,788"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76210000-IT FOR OFF PRO LICENS/CERT,Expense,038-Technology - Software,"10,267","99,507","137,310","137,310"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76210000-IT FOR OFF PRO LICENS/CERT,Expense,046-Consultants,"25,260","250,000",1,1
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76210000-IT FOR OFF PRO LICENS/CERT,Funding,001-Transfer from Other Agencies,"-106,666","-366,924","-226,378","-179,159"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76220000-IT FOR BUSINESS & ECON AFF,Expense,020-Current Expenses,390,390,390,390
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76220000-IT FOR BUSINESS & ECON AFF,Expense,037-Technology - Hardware,"11,900","10,771","19,241","20,161"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76220000-IT FOR BUSINESS & ECON AFF,Expense,038-Technology - Software,"14,466","18,030","79,765","87,651"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76220000-IT FOR BUSINESS & ECON AFF,Funding,001-Transfer from Other Agencies,"-26,756","-29,191","-99,396","-108,202"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76230000-IT FOR SAFETY,Expense,020-Current Expenses,"22,541","47,400","52,150","52,150"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76230000-IT FOR SAFETY,Expense,037-Technology - Hardware,"1,331,471","1,570,221","2,001,593","2,373,076"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76230000-IT FOR SAFETY,Expense,038-Technology - Software,"2,101,773","3,791,018","5,305,910","4,710,328"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76230000-IT FOR SAFETY,Expense,039-Telecommunications,"339,771","285,944","452,754","464,869"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76230000-IT FOR SAFETY,Expense,046-Consultants,"2,681,015","3,233,500","4,622,500","4,730,500"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76230000-IT FOR SAFETY,Expense,066-Employee training,0,0,"11,701","11,701"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76230000-IT FOR SAFETY,Funding,001-Transfer from Other Agencies,"-6,476,571","-8,928,083","-12,446,608","-12,342,624"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76240000-IT FOR INSURANCE,Expense,020-Current Expenses,208,990,990,990
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76240000-IT FOR INSURANCE,Expense,037-Technology - Hardware,"42,669","38,685","142,748","54,546"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76240000-IT FOR INSURANCE,Expense,038-Technology - Software,"49,201","69,978","51,112","53,977"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76240000-IT FOR INSURANCE,Expense,046-Consultants,"33,115","100,000","130,000","130,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76240000-IT FOR INSURANCE,Expense,066-Employee training,0,0,"5,000","5,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76240000-IT FOR INSURANCE,Funding,001-Transfer from Other Agencies,"-125,193","-209,653","-329,850","-244,513"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76260000-IT FOR LABOR,Expense,020-Current Expenses,"1,040","1,290","1,260","1,260"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76260000-IT FOR LABOR,Expense,037-Technology - Hardware,"90,418","75,810","72,646","83,474"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76260000-IT FOR LABOR,Expense,038-Technology - Software,"19,641","15,814","87,380","82,580"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76260000-IT FOR LABOR,Expense,046-Consultants,"396,278","577,683","530,452","558,497"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76260000-IT FOR LABOR,Expense,066-Employee training,0,0,"5,600","5,800"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76260000-IT FOR LABOR,Funding,001-Transfer from Other Agencies,"-507,377","-670,597","-697,338","-731,611"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76270000-IT FOR EMPLOYMENT SECURITY,Expense,020-Current Expenses,"11,053","11,120","12,220","12,220"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76270000-IT FOR EMPLOYMENT SECURITY,Expense,037-Technology - Hardware,"235,819","337,201","397,442","383,068"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76270000-IT FOR EMPLOYMENT SECURITY,Expense,038-Technology - Software,"1,110,676","1,335,213","1,537,340","1,536,330"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76270000-IT FOR EMPLOYMENT SECURITY,Expense,046-Consultants,"6,851","10,000","15,000","15,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76270000-IT FOR EMPLOYMENT SECURITY,Expense,066-Employee training,0,0,"5,000","5,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76270000-IT FOR EMPLOYMENT SECURITY,Funding,001-Transfer from Other Agencies,"-1,364,399","-1,693,534","-1,967,002","-1,951,618"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76320000-IT FOR SECRETARY OF STATE,Expense,037-Technology - Hardware,0,600,600,600
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76320000-IT FOR SECRETARY OF STATE,Funding,001-Transfer from Other Agencies,0,-600,-600,-600
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76350000-IT FOR NATURAL&CULTURAL RESCS,Expense,020-Current Expenses,801,"2,160","1,480","1,480"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76350000-IT FOR NATURAL&CULTURAL RESCS,Expense,037-Technology - Hardware,"72,558","65,591","98,469","125,310"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76350000-IT FOR NATURAL&CULTURAL RESCS,Expense,038-Technology - Software,"57,541","88,001","43,610","41,660"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76350000-IT FOR NATURAL&CULTURAL RESCS,Expense,039-Telecommunications,894,"1,200",0,0
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76350000-IT FOR NATURAL&CULTURAL RESCS,Expense,046-Consultants,0,1,1,1
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76350000-IT FOR NATURAL&CULTURAL RESCS,Funding,001-Transfer from Other Agencies,"-131,794","-156,953","-143,560","-168,451"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76380000-IT FOR TREASURY,Expense,020-Current Expenses,0,0,210,210
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76380000-IT FOR TREASURY,Expense,037-Technology - Hardware,0,75,"30,287","29,245"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76380000-IT FOR TREASURY,Expense,038-Technology - Software,0,"1,800","5,200","5,200"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76380000-IT FOR TREASURY,Funding,001-Transfer from Other Agencies,0,"-1,875","-35,697","-34,655"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76430000-IT FOR NH VETERANS HOME,Expense,020-Current Expenses,359,770,770,770
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76430000-IT FOR NH VETERANS HOME,Expense,037-Technology - Hardware,"60,178","55,453","42,168","34,596"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76430000-IT FOR NH VETERANS HOME,Expense,038-Technology - Software,"119,478","145,959","198,340","200,985"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76430000-IT FOR NH VETERANS HOME,Expense,046-Consultants,0,"45,500","173,500","47,800"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76430000-IT FOR NH VETERANS HOME,Funding,001-Transfer from Other Agencies,"-180,015","-247,682","-414,778","-284,151"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76440000-IT FOR ENVIRONMENTAL SERV,Expense,020-Current Expenses,"3,578","3,720","4,110","4,110"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76440000-IT FOR ENVIRONMENTAL SERV,Expense,037-Technology - Hardware,"205,950","170,996","295,120","262,492"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76440000-IT FOR ENVIRONMENTAL SERV,Expense,038-Technology - Software,"199,619","272,289","344,468","392,900"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76440000-IT FOR ENVIRONMENTAL SERV,Expense,039-Telecommunications,"1,848","10,000","10,000","10,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76440000-IT FOR ENVIRONMENTAL SERV,Expense,066-Employee training,0,0,"15,000","15,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76440000-IT FOR ENVIRONMENTAL SERV,Funding,001-Transfer from Other Agencies,"-410,995","-457,005","-668,698","-684,502"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76460000-IT FOR CORRECTIONS,Expense,020-Current Expenses,"2,277","3,300","3,200","3,200"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76460000-IT FOR CORRECTIONS,Expense,037-Technology - Hardware,"381,241","562,376","687,055","649,722"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76460000-IT FOR CORRECTIONS,Expense,038-Technology - Software,"749,597","997,268","1,067,030","1,215,897"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76460000-IT FOR CORRECTIONS,Expense,046-Consultants,"11,656","135,559","136,427","136,427"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76460000-IT FOR CORRECTIONS,Expense,066-Employee training,0,0,"7,500","7,500"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76460000-IT FOR CORRECTIONS,Funding,001-Transfer from Other Agencies,"-1,144,771","-1,698,503","-1,901,212","-2,012,746"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76520000-IT FOR DEPT OF ENERGY,Expense,020-Current Expenses,64,310,690,690
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76520000-IT FOR DEPT OF ENERGY,Expense,037-Technology - Hardware,"45,476","35,239","49,381","50,153"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76520000-IT FOR DEPT OF ENERGY,Expense,038-Technology - Software,"16,313","37,202","41,980","47,500"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76520000-IT FOR DEPT OF ENERGY,Expense,046-Consultants,"35,933",1,"100,000","150,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76520000-IT FOR DEPT OF ENERGY,Expense,066-Employee training,0,0,"5,000","5,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76520000-IT FOR DEPT OF ENERGY,Funding,001-Transfer from Other Agencies,"-97,786","-72,752","-197,051","-253,343"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76530000-IT FOR CONSUMER ADVOCATE,Expense,037-Technology - Hardware,0,"39,128","5,000","5,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76530000-IT FOR CONSUMER ADVOCATE,Funding,001-Transfer from Other Agencies,0,"-39,128","-5,000","-5,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76550000-IT FOR PUC ADJUDICATIVE COMM,Expense,020-Current Expenses,0,0,220,220
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76550000-IT FOR PUC ADJUDICATIVE COMM,Expense,037-Technology - Hardware,"5,767","1,700","18,575","13,258"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76550000-IT FOR PUC ADJUDICATIVE COMM,Expense,038-Technology - Software,756,"4,010","6,188","5,778"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76550000-IT FOR PUC ADJUDICATIVE COMM,Expense,046-Consultants,0,"180,000","100,000","150,000"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76550000-IT FOR PUC ADJUDICATIVE COMM,Funding,001-Transfer from Other Agencies,"-6,523","-185,710","-124,983","-169,256"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76560000-IT FOR EDUCATION,Expense,020-Current Expenses,"1,338","2,140","2,150","2,150"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76560000-IT FOR EDUCATION,Expense,037-Technology - Hardware,"46,403","76,721","40,521","42,046"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76560000-IT FOR EDUCATION,Expense,038-Technology - Software,"34,374","64,386","51,265","53,494"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76560000-IT FOR EDUCATION,Expense,066-Employee training,0,0,"7,500","7,500"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76560000-IT FOR EDUCATION,Funding,001-Transfer from Other Agencies,"-82,115","-143,247","-101,436","-105,190"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76630000-IT FOR NH HOUSING APPEALS BD,Expense,020-Current Expenses,0,0,50,50
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76630000-IT FOR NH HOUSING APPEALS BD,Expense,037-Technology - Hardware,"1,401",950,"5,543","5,670"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76630000-IT FOR NH HOUSING APPEALS BD,Expense,038-Technology - Software,468,"1,915",628,640
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76630000-IT FOR NH HOUSING APPEALS BD,Funding,001-Transfer from Other Agencies,"-1,869","-2,865","-6,221","-6,360"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76670000-IT FOR CONS LAND STWDSHP PRGM,Expense,020-Current Expenses,0,0,100,100
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76670000-IT FOR CONS LAND STWDSHP PRGM,Expense,037-Technology - Hardware,"5,087","4,226","3,962","2,080"
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76670000-IT FOR CONS LAND STWDSHP PRGM,Expense,038-Technology - Software,0,0,810,810
01-GENERAL GOVERNMENT,00003-INFORMATION TECHNOLOGY DEPT,003-INFORMATION TECHNOLOGY DEPT,OIT030010-INFORMATION TECHNOLOGY DEPT OF,010-General Fund,76670000-IT FOR CONS LAND STWDSHP PRGM,Funding,001-Transfer from Other Agencies,"-5,087","-4,226","-4,872","-2,990"
